run_id,recorded_at,quality_level,test_type,board,board_revision,firmware_commit,configuration,model_name,model_classes,stimulus,expected_class,source,distance_cm,volume_percent,duration_s,frame_start,frame_end,frames_observed,detection_events,correct_events,unknown_events,cpu_load_percent_mean,preprocess_ms_mean,inference_ms_mean,postprocess_ms_mean,result,raw_log_path,notes,stimulus_hash
RUN-PRELIM-IDLE-001,2026-07-16T17:10:00+02:00,preliminary,idle,STM32N6570-DK,Rev B,d7d5e1b,BM,YAMNet 1024 ESC-10 int8,10,ambient room,no_output,onboard microphone,,,8,33,41,9,0,9,0,2.11,0.91,1.19,0.00,pass,experiments/raw/RUN-PRELIM-IDLE-001.txt,No detection lines were observed; terminal capture reconstructed,
RUN-PRELIM-CLAP-001,2026-07-16T20:38:00+02:00,preliminary,ood,STM32N6570-DK,Rev B,d7d5e1b,BM,YAMNet 1024 ESC-10 int8,10,live hand clapping,out_of_distribution,live person,,,15,42,224,,2,0,0,2.11,0.91,1.19,0.00,fail,experiments/raw/RUN-PRELIM-CLAP-001.txt,Dog and clock_tick were false-positive outputs; capture was reconstructed and incomplete,
RUN-PRELIM-DOG-001,2026-07-16T20:40:00+02:00,preliminary,positive,STM32N6570-DK,Rev B,d7d5e1b,BM,YAMNet 1024 ESC-10 int8,10,dog barking playback,dog,unspecified speaker,,,15,228,258,31,14,2,4,2.11,0.91,1.19,0.00,mixed,experiments/raw/RUN-PRELIM-DOG-001.txt,Positive detection succeeded but competing false classes were frequent; conditions uncontrolled,
"RUN-20260726-194048","2026-07-26T19:40:48.6542013+02:00","controlled","idle","STM32N6570-DK","Rev B","6d7d7df","BM EMA-0.65 hysteresis","YAMNet-256 Useful-10 int8","10","quiet room ambient after first useful-ten boot","waiting","on-board microphone",,,"15.186","49","64","16","0","16","0","0.85","0.69","0.16","0","pass_no_false_positive","experiments/raw/RUN-20260726-194048.txt","First live capture after flashing useful10_yamnet256; no deliberate stimulus.",""
"RUN-20260726-194205","2026-07-26T19:42:05.1466782+02:00","preliminary","idle","STM32N6570-DK","Rev B","6d7d7df","BM EMA-0.65 hysteresis","YAMNet-256 Useful-10 int8","10","coordination gap before user started clapping","waiting","no deliberate stimulus",,,"30.13","65","158","67","0","67","0","0.8373","0.6797","0.1576","0","pass_no_false_positive","experiments/raw/RUN-20260726-194205.txt","Initially scheduled as clapping; the user clarified that clapping began only after this capture. Reclassified as idle without altering the raw UART evidence.",""
"RUN-20260726-194301","2026-07-26T19:43:01.3344254+02:00","preliminary","positive","STM32N6570-DK","Rev B","6d7d7df","BM EMA-0.65 hysteresis","YAMNet-256 Useful-10 int8","10","live repeated hand claps","clapping","live person",,,"30.138","159","215","57","23","19","7","0.85","0.69","0.16","0","pass_with_detection","experiments/raw/RUN-20260726-194301.txt","User-confirmed active clapping capture after useful10_yamnet256 flash; distance and sound level uncontrolled.",""
"RUN-20260807-135026","2026-08-07T13:50:26.2761258+02:00","controlled","positive","STM32N6570-DK","Rev B","9a614d2","BM EMA-0.65 hysteresis","YAMNet-256 Hazard-5 + Speech int8","6","PILOT-001 | speech__fsd50k__val__speech__149825__0000.wav","speech","FSD50K val via Windows speaker","30","50","20.151","142","217","44","4","0","0","0.85","0.69","0.16","0","fail_no_target_detection","experiments/raw/RUN-20260807-135026.txt","Pilot order 1; true category speech; fixed seed 120.","a6d371c3b9eaad6d4ee68d6e9b2c74470641727582780da6c80839d62f7fe477"
"RUN-20260807-135046","2026-08-07T13:50:46.5422974+02:00","controlled","positive","STM32N6570-DK","Rev B","9a614d2","BM EMA-0.65 hysteresis","YAMNet-256 Hazard-5 + Speech int8","6","PILOT-002 | dog_bark__fsd50k__dev__404233__0059__r0.wav","dog_bark","FSD50K dev via Windows speaker","30","50","20.102","219","238","20","0","0","2","0.85","0.69","0.16","0","fail_no_target_detection","experiments/raw/RUN-20260807-135046.txt","Pilot order 2; true category dog_bark; fixed seed 120.","6f8e76d173cfedd3737514f3276f29621e1ab19a7858f8ac413a15404f857820"
"RUN-20260807-135106","2026-08-07T13:51:06.6562296+02:00","controlled","ood","STM32N6570-DK","Rev B","9a614d2","BM EMA-0.65 hysteresis","YAMNet-256 Hazard-5 + Speech int8","6","PILOT-003 | 4-189833-A-22.wav","out_of_distribution","ESC-50 fold_4 via Windows speaker","30","50","20.145","239","259","21","0","21","7","0.85","0.69","0.16","0","pass_no_false_positive","experiments/raw/RUN-20260807-135106.txt","Pilot order 3; true category clapping; fixed seed 120.","6e1e23f2d71d057489dc0e630e25271af4c1a9b73888b666eebdae268d7ad0ac"
"RUN-20260807-135126","2026-08-07T13:51:26.8256484+02:00","controlled","positive","STM32N6570-DK","Rev B","9a614d2","BM EMA-0.65 hysteresis","YAMNet-256 Hazard-5 + Speech int8","6","PILOT-004 | siren__esc50__fold_4__111671__0002__r0.wav","siren","ESC-50 fold_4 via Windows speaker","30","50","20.111","260","280","21","7","7","0","0.85","0.69","0.16","0","pass_with_detection","experiments/raw/RUN-20260807-135126.txt","Pilot order 4; true category siren; fixed seed 120.","7b862bec0a634cc342e53fe54fbac85c28801588903e2a35e9eff705b5593b05"
