log_id,recorded_at,category,action,result,evidence,commit,notes
LOG-001,2026-07-16T15:32:00+02:00,assessment,Inspected the original Python script and N6_Test project,Python used waveform-input TFLite while N6_Test contained only a secure startup skeleton,pasted-text.txt and N6_Test/Appli/Src/main.c,,The embedded implementation required a board-specific audio and NPU foundation
LOG-002,2026-07-16T16:09:00+02:00,repository,Cloned STMicroelectronics STM32N6 Getting Started Audio reference,Official audio/NPU project selected as firmware baseline,https://github.com/STMicroelectronics/STM32N6-GettingStarted-Audio,46f1f97,Repository renamed to stm32n6-edge-audio-classifier
LOG-003,2026-07-16T16:12:54+02:00,build,Built the unmodified bare-metal BM configuration,Build completed with 0 errors and 20 warnings; text 219300 bytes data 10224 bytes bss 361360 bytes,STM32CubeIDE headless build output,80c11f4,Linker emitted an RWX load-segment warning
LOG-004,2026-07-16T16:20:00+02:00,version_control,Connected personal GitHub repository and preserved ST as upstream,thesis-development branch pushed successfully,https://github.com/aleksMuhicFri2/stm32n6-edge-audio-classifier,80c11f4,The shallow upstream clone was unshallowed before the first successful push
LOG-005,2026-07-16T16:30:00+02:00,hardware,Verified ST-LINK and MCU connection,STM32N6570-DK Rev B detected at 3.27 V with VCP on COM3,STM32CubeProgrammer 2.23.0 output,,No firmware write in this step
LOG-006,2026-07-16T16:45:00+02:00,safety,Reviewed VDDIO2_HSLV and VDDIO3_HSLV OTP implications,User explicitly authorized the official ST configuration,ST AN5946 and AN5967,,Official unmodified Discovery Kit with no external GPIO circuitry
LOG-007,2026-07-16T17:00:00+02:00,flash,Programmed the official prebuilt bare-metal AED image,External flash erase and 3.42 MB download completed without errors,STM32CubeProgrammer output and Binary/STM32N6570-DK/STM32N6_GettingStarted_Audio_aed_bm.hex,,Image contains FSBL application and 10-class model assets
LOG-008,2026-07-16T17:10:00+02:00,validation,Booted the AED firmware and captured live UART frames,Audio preprocessing and Neural-ART inference ran continuously at 0.91 ms and 1.19 ms with 2.11 percent reported CPU load,COM3 UART frames 33 through 41,d7d5e1b,Initial hardware/software pipeline validated
LOG-009,2026-07-16T20:38:00+02:00,experiment,Performed preliminary clapping OOD trial,Dog and clock_tick outputs were observed during an untrained clap stimulus,experiments/raw/RUN-PRELIM-CLAP-001.txt,,Reconstructed terminal evidence; not a controlled benchmark
LOG-010,2026-07-16T20:40:00+02:00,experiment,Performed preliminary dog-playback positive trial,Dog was detected twice but several competing classes and unknown outputs were also produced,experiments/raw/RUN-PRELIM-DOG-001.txt,,Playback volume distance and exact onset were not controlled
